name,age,birth year,first_name,family_name,father name,mother name,alive,death_cause,occ,height,strength,speed,stamina,weight,charisma,willpower,intel,melanin,parental,compassion,dexterity,weapon_prof,wealth,academic,farmer,fighter,hunter,merchant,gatherer,ruler,years_service
s_44 153 1107 3299 8803,11,110,8803,s_44,44 153 1107 3299,1 237 1227 3845,1,alive,academic,43.6955,30.6634,53.2689,60.6086,101.131,78.5247,81.1187,97.6344,78.5401,45.4293,64.9949,50.7758,0,782.234,1380.94,981.105,673.578,815.05,1202.29,975,877.115,0
s_74 355 873 4047,38,83,4047,s_74,74 355 873,9 207 686,1,alive,fighter,71.3932,67.0365,91.5831,87.2755,154.076,75.1851,80.9204,97.3759,79.6863,63.1934,79.9778,72.5956,0,1459.05,1378.36,1191.16,995.773,1199.9,1149.87,975,1177.38,22
s_15 400 1561 5591,28,93,5591,s_15,15 400 1561,20 402 1209,1,alive,fighter,74.3884,85.3056,82.5283,74.3044,156.475,72.1493,90.9074,91.3373,77.0151,68.1923,65.4244,74.7059,0,559.122,1367.91,1295.8,1034.76,1212.98,1138.21,975,1196.05,13
s_69 181 891 2290 5265 9894,6,115,9894,s_69,69 181 891 2290 5265,39 412 1612,1,alive,useless,28.0004,26.9502,29.9433,30.4443,41.7943,65.7445,84.6363,92.4691,71.356,21.7068,87.9973,33.6121,0,0,1347.87,909.831,524.952,597.738,1051.62,975,682.832,0
s_64 119 646 2346 6111,25,96,6111,s_64,64 119 646 2346,27 107 534 1550,1,alive,fighter,65.992,64.2864,80.4305,81.2169,157.641,79.7613,84.3752,92.5859,79.6983,66.5631,73.4127,75.1341,0,605.204,1347.73,1194.72,963.715,1167.19,1179.26,975,1159.37,8
s_61 179 516 1321 8697,12,109,8697,s_61,61 179 516 1321,21 364 1997 4588,1,alive,useless,49.7348,38.1457,39.7665,46.5549,80.7246,71.5031,84.2284,92.3786,72.0053,56.7978,78.6001,61.2933,0,0,1344.93,993.778,686.032,826.21,1110.46,975,856.828,0
s_44 153 576 1601 5772 10385,3,118,10385,s_44,44 153 576 1601 5772,11 184 1343 3492,1,alive,useless,14.5801,13.0873,13.4368,14.1245,32.1332,82.2968,84.2049,92.3572,69.1751,13.7931,71.6483,14.8771,4.6792e-310,0,1344.6,818.977,379.951,408.171,1199.85,975,593.668,0
s_1 416 1702 4269 9254,9,112,9254,s_1,1 416 1702 4269,35 202 1194 2898,1,alive,useless,36.591,32.8641,39.2852,41.804,41.9568,70.4734,83.8956,92.3908,80.8411,40.6203,77.3914,38.6245,0,0,1343.39,959.661,596.472,690.098,1105.7,975,772.682,0
s_11 121 952 3547 10055,5,116,10055,s_11,11 121 952 3547,71 273 657 1911,1,alive,useless,22.936,20.0744,27.4088,29.9256,35.353,82.9085,84.8169,91.771,75.4219,20.68,78.1378,23.3384,0,0,1341.79,888.678,469.535,526.978,1189.4,975,690.419,0
s_74 355 873 4047 8793,11,110,8793,s_74,74 355 873 4047,71 900 3312,1,alive,useless,43.7024,29.5044,47.0213,53.2591,71.1284,74.7536,78.2512,94.8375,74.9653,46.876,84.1708,45.0051,0,0,1339.63,932.928,626.82,749.846,1129.45,975,820.272,0
s_69 181 891 2290 5265 9252,9,112,9252,s_69,69 181 891 2290 5265,74 355 940 2895,1,alive,useless,34.651,34.3122,43.9007,46.4562,53.8882,65.0891,89.5331,88.969,71.122,33.717,76.6095,41.247,0,0,1337.36,1024.61,625.735,728.873,1059.31,975,794.172,0
s_71 1287 3734 9505,8,113,9505,s_71,71 1287 3734,44 319 1330,1,alive,useless,36.1651,28.3918,35.8739,36.6431,53.8343,86.0678,80.5656,93.2138,70.1711,31.9332,75.5287,35.709,0,0,1334.97,899.33,553.719,638.803,1221.06,975,775.484,0
s_15 400 1561 5591 9633,7,114,9633,s_15,15 400 1561 5591,48 116 571 1706,1,alive,useless,28.3354,24.8582,24.3079,36.5409,57.3357,80.9831,94.8749,86.0546,71.1012,36.3885,83.3173,27.8789,0,0,1334.92,1015.57,516.116,588.385,1148.41,975,751.464,0
s_44 153 576 1933 6124,17,96,6124,s_44,44 153 576 1933,64 119 646 1741,0,lack of mass,useless,67.7083,52.2776,73.4582,72.4163,71.6542,67.6476,76.7204,95.0571,76.5215,68.6752,71.7709,68.5683,0,0,1334.17,1045.23,840.605,1018.29,1105.16,975,1001.89,0
s_44 153 1107 3299 7669,15,104,7669,s_44,44 153 1107 3299,1 237 1227 3845,0,lack of mass,useless,59.3026,39.8239,86.8712,71.6434,58.5657,75.5728,84.8745,90.7488,73.8676,53.0094,79.3141,65.611,0,0,1331.86,1078.48,831.238,1009.94,1132.63,975,1032.58,0
s_1 416 1702 4269 10307,4,117,10307,s_1,1 416 1702 4269,27 107 971,1,alive,useless,17.6625,16.3319,16.4107,21.7003,33.0111,68.4029,81.9413,91.92,81.0328,21.4198,81.386,24.3149,0,0,1328.91,830.018,424.502,474.997,1081.81,975,592.026,0
s_64 119 1202 5770,14,94,5770,s_64,64 119 1202,27 177 857 2684,0,lack of mass,useless,51.7841,37.4019,67.1364,72.0917,40.9202,69.8383,69.2305,98.25,80.1813,57.1449,67.3376,61.9386,0,0,1328.65,932.501,750.549,923.516,1138.94,975,912.887,0
s_27 342 2148,12,66,2148,s_27,27 342,21 270 621,0,disease,useless,47.823,39.5342,45.6972,59.7908,126.472,82.7465,78.083,93.7047,65.0786,57.7105,72.6461,53.721,0,507.591,1327.46,1000.72,715.672,868.201,1205.05,975,927.798,0
s_28 158 817 2593,50,71,2593,s_28,28 158 817,27 177 603,1,alive,fighter,60.5799,54.3805,65.0199,82.8726,166.886,73.6193,77.6501,93.3312,78.4013,78.6684,82.4686,72.7341,0,15493,1323.51,1115.28,884.235,1092.9,1121.79,975,1067.39,20
s_40 418 2182 6638,12,99,6638,s_40,40 418 2182,27 107 824 2572,0,lack of mass,useless,45.375,25.5799,43.8045,58.8107,30.2389,81.4358,81.1392,91.9622,66.0596,53.9586,84.3628,54.6074,0,0,1325.32,965.911,646.511,797.01,1167.21,975,868.418,0
s_40 418 2182 9643,7,114,9643,s_40,40 418 2182,17 385 1483,1,alive,useless,29.9216,20.998,35.1888,34.3773,32.2016,79.6644,84.0013,90.4634,77.353,27.971,80.5338,35.0662,0,0,1324.64,903.299,529.536,614.244,1157.97,975,738.32,0
s_74 355 1446 5103 10362,4,117,10362,s_74,74 355 1446 5103,24 577 1905 5423,1,alive,useless,19.8313,15.647,20.2598,23.0885,38.7973,81.0409,84.4328,90.1318,72.3677,25.4799,71.876,25.3535,0,0,1323.48,853.012,435.022,489.251,1183.93,975,647.347,0
s_64 119 646 2346 6111 10354,4,117,10354,s_64,64 119 646 2346 6111,21 176 769,1,alive,useless,20.012,18.4383,21.2853,20.4126,35.6071,71.7839,77.1738,93.4409,80.0704,18.3013,70.6854,22.5374,0,0,1320.28,788.152,424.483,469.824,1131.44,975,595.409,0
s_28 285 1081 4670 9765,7,114,9765,s_28,28 285 1081 4670,21 392 1488 5411,1,alive,useless,27.5307,26.4661,37.4144,36.035,44.929,66.6351,80.6296,91.7065,78.3293,30.897,78.2439,36.4957,0,0,1320.21,890.248,546.877,632.678,1075.08,975,704.966,0
s_15 400 1366 4887 9149,10,111,9149,s_15,15 400 1366 4887,1 371 1352,1,alive,useless,38.0772,42.2201,41.5442,43.3748,68.8917,79.5818,82.4038,90.716,69.4577,39.06,74.0356,44.9146,0,0,1319.18,975.938,641.115,743.079,1171.15,975,833.985,0
s_21 364 1393 3677 7512,18,103,7512,s_21,21 364 1393 3677,35 202 1194 2761,1,alive,fighter,61.2107,65.0198,91.1461,77.9873,145.447,94.5816,84.2006,89.814,67.5376,60.8835,82.4077,74.0428,0,873.503,1319.14,1186.87,980.97,1177.78,1256.7,975,1214,2
s_27 107 824 3427 7036,15,101,7036,s_27,27 107 824 3427,11 184 1343 3492,0,lack of mass,useless,56.0171,35.6169,60.4272,65.2676,51.892,79.776,90.6736,86.349,72.0422,78.2839,76.4339,67.2773,0,0,1316.86,1103.22,770.745,947.433,1154.61,975,994.709,0
s_64 119 1202 7307,12,102,7307,s_64,64 119 1202,25 161 715 2489,0,lack of mass,useless,47.7886,40.0499,47.2039,50.2165,38.8508,77.9006,79.6969,91.5989,77.8464,52.987,73.21,57.3356,0,0,1314.47,968.824,689.553,825.254,1163.68,975,877.632,0
s_56 315 1322 9013,10,111,9013,s_56,56 315 1322,25 161 611 2004,1,alive,useless,38.1167,27.6041,43.6965,58.1158,36.4787,86.8252,76.8069,93.0326,81.4289,45.2809,78.3757,48.6042,0,0,1314.36,926.756,621.661,756.879,1220.12,975,850.405,0
s_17 417 1125 3319,43,78,3319,s_17,17 417 1125,6 409 1091,1,alive,fighter,63.1093,64.4661,57.023,61.0633,193.271,77.9979,88.02,86.9484,70.588,80.2819,85.9696,76.2019,0,19962.8,1311.8,1172.63,896.832,1077.32,1126.29,975,1080.56,14
s_44 153 740 2832 7757,16,105,7757,s_44,44 153 740 2832,5 777 1919,1,alive,useless,61.2383,59.7416,65.4223,77.7607,76.0147,69.8939,89.9092,86.425,63.5918,61.7861,77.7215,78.9183,0,0,1313.8,1198.34,892.008,1089.6,1083.09,975,1068.15,0
s_69 181 1212 3741 9699,7,114,9699,s_69,69 181 1212 3741,15 219 714,1,alive,useless,31.8665,28.3945,36.3578,39.2333,48.2849,69.6151,83.656,89.4484,67.4641,29.1233,80.1269,33.0325,0,0,1312.76,930.895,546.745,628.719,1085.4,975,727.796,0
s_96 551 2129 7443,16,103,7443,s_96,96 551 2129,11 184 781 2062,0,lack of mass,useless,65.1387,42.2159,68.9393,87.6232,71.7549,82.4616,90.1681,86.076,72.4042,71.4041,74.6257,65.043,0,0,1311.6,1179.14,820.269,1015.68,1176.21,975,1076.44,0
