name,first_name,family_name,father name, mother name, alive, death_cause, occ, height, strength, speed, stamina, weight, charisma, willpower, intel, melanin, parental, compassion, dexterity, weapon_prof, wealth, academic, farmer, fighter, hunter, merchant, gatherer, ruler, years_service
4 104,104,0,4,70,0,disease,academic,69.0367,54.6953,60.193,74.6609,139.412,67.7599,68.8536,87.2726,70.7712,74.4554,68.7005,80.0092,0,1560.8,1215.99,1007.75,860.882,1073.2,1088.44,975,1017.99,17,
12,12,0,,,0,disease,academic,70.5406,60.5412,74.0169,79.1838,156.985,76.9426,82.1836,78.5845,78.1769,63.825,69.7532,75.8933,0,1544.95,1195.76,1158.83,917.498,1122.86,1124.55,975,1127.19,0,
48,48,0,,,0,lack of mass,academic,65.3552,40.1768,67.2052,82.5122,40.4559,73.8804,77.4828,79.6053,73.5846,77.6853,76.0777,74.3444,0,0,1183.47,1079.52,845.852,1064.18,1093.82,975,1057.45,0,
37,37,0,,,0,lack of mass,academic,67.9698,50.2348,82.122,82.215,65.5711,78.5458,78.1065,78.1187,75.297,64.9042,75.3735,76.6748,0,0,1171.72,1116.17,917.461,1132.08,1123.43,975,1131.14,0,
21,21,0,,,0,lack of mass,academic,68.7702,42.7185,70.3692,87.7064,69.2345,71.2221,77.1618,77.559,73.4263,75.0744,79.4342,78.0077,0,0,1161.4,1102.16,875.897,1105.57,1062.36,975,1082.61,0,
5,5,0,,,0,lack of mass,academic,69.1879,43.1998,68.9408,80.4814,72.6486,77.4346,79.3409,76.4678,74.2656,77.5809,78.0498,73.2461,0,0,1161.38,1101.86,855.944,1066.57,1105.35,975,1082.51,0,
98,98,0,,,0,lack of mass,academic,64.7893,54.0896,71.7538,74.9166,66.8339,73.6571,74.9341,78.6094,76.7611,64.0892,74.7074,77.6473,0,96.1167,1160.76,1067.62,885.945,1093.31,1093.41,975,1072.63,0,
32,32,0,,,0,lack of mass,academic,74.9298,55.4394,80.3791,76.3411,67.0073,75.558,80.4422,75.8537,80.0529,67.5539,75.9014,74.1777,0,0,1160.75,1132.56,915.003,1113.98,1094.66,975,1124.52,0,
11,11,0,,,0,lack of mass,academic,67.5137,39.0046,64.4482,78.2975,42.7564,78.3221,78.8139,76.6043,78.9162,79.299,80.5044,75.0638,0,0,1160.11,1075.84,833.495,1048.71,1107.06,975,1062.39,0,
29,29,0,,,0,lack of mass,academic,65.6631,40.1837,72.4054,79.6993,40.7885,75.797,76.5748,77.6473,69.1522,80.7415,73.4088,74.8246,0,0,1159.35,1063.05,852.072,1067.82,1106.7,975,1066.64,0,
31,31,0,,,0,lack of mass,academic,64.4655,38.2512,70.8241,78.3454,43.3068,73.8562,76.8122,77.4531,74.31,79.4852,76.5806,73.5071,0,0,1158.59,1055.47,837.792,1050.62,1086.19,975,1048.05,0,
93,93,0,,,0,lack of mass,academic,70.0946,52.535,80.0746,81.6724,67.7754,70.6561,77.296,77.1116,69.8178,65.8681,74.5702,75.1982,0,0,1157.6,1114.7,912.452,1121.59,1066.79,975,1104.01,0,
59,59,0,,,0,lack of mass,academic,67.2592,44.7631,64.5497,77.829,77.1898,75.1511,76.0608,77.6166,73.0259,76.3265,76.0505,71.1125,0,0,1156.47,1069.53,837.028,1038.84,1096.81,975,1049.02,0,
22,22,0,,,0,lack of mass,academic,64.4728,40.5588,65.8734,83.2046,41.077,77.1526,73.0975,78.8374,75.4789,79.5324,80.6787,78.2561,0,0,1153.86,1043.45,846.865,1073.64,1105.22,975,1060.73,0,
17,17,0,,,0,lack of mass,academic,65.1993,42.5524,65.5568,81.4723,44.3351,72.0037,78.8205,75.8798,74.2702,74.8424,77.3406,79.7724,0,0,1152.9,1095.99,862.957,1088.92,1066.98,975,1066.17,0,
9,9,0,,,0,lack of mass,academic,67.4363,39.3166,69.0696,79.336,42.8224,77.2014,78.3699,76.0716,75.9393,81.3904,78.3616,77.8297,0,0,1152.57,1075.92,852.639,1074.46,1101.9,975,1075.12,0,
